seed,acc,f1w,f1m
0,0.9666666666666667,0.9666666666666667,0.9666666666666667
1,0.9333333333333333,0.9321266968325792,0.9321266968325792
2,0.9666666666666667,0.9665178571428572,0.9665178571428572
3,1.0,1.0,1.0
4,0.9666666666666667,0.9665178571428572,0.9665178571428572
5,0.95,0.9494949494949495,0.9494949494949495
6,0.9666666666666667,0.9665178571428572,0.9665178571428572
7,0.9833333333333333,0.9833147942157954,0.9833147942157954
8,0.9666666666666667,0.9671336206896552,0.9671336206896552
9,0.9833333333333333,0.9833147942157954,0.9833147942157954
10,1.0,1.0,1.0
11,0.9666666666666667,0.9665178571428572,0.9665178571428572
12,1.0,1.0,1.0
13,0.9666666666666667,0.9665178571428572,0.9665178571428572
14,0.9666666666666667,0.9665178571428572,0.9665178571428572
15,0.9833333333333333,0.9833147942157954,0.9833147942157954
16,0.9666666666666667,0.9665178571428572,0.9665178571428572
17,0.9833333333333333,0.9833147942157954,0.9833147942157954
18,1.0,1.0,1.0
19,1.0,1.0,1.0
20,0.9666666666666667,0.9665178571428572,0.9665178571428572
21,0.9666666666666667,0.9665178571428572,0.9665178571428572
22,0.9833333333333333,0.9833147942157954,0.9833147942157954
23,0.9333333333333333,0.9321266968325792,0.9321266968325792
24,0.9833333333333333,0.9833147942157954,0.9833147942157954
25,0.9666666666666667,0.9665178571428572,0.9665178571428572
26,0.9833333333333333,0.9833147942157954,0.9833147942157954
27,0.9833333333333333,0.9833147942157954,0.9833147942157954
28,0.9833333333333333,0.9833147942157954,0.9833147942157954
29,0.95,0.9494949494949495,0.9494949494949495
30,0.9833333333333333,0.9833147942157954,0.9833147942157954
31,0.9833333333333333,0.9833147942157954,0.9833147942157954
32,0.9666666666666667,0.9665178571428572,0.9665178571428572
33,1.0,1.0,1.0
34,0.9666666666666667,0.9665178571428572,0.9665178571428572
35,0.9833333333333333,0.9833147942157954,0.9833147942157954
36,1.0,1.0,1.0
37,0.9666666666666667,0.9666666666666667,0.9666666666666667
38,0.9833333333333333,0.9833147942157954,0.9833147942157954
39,0.9666666666666667,0.9665178571428572,0.9665178571428572
40,0.9666666666666667,0.9665178571428572,0.9665178571428572
41,1.0,1.0,1.0
42,0.95,0.9494949494949495,0.9494949494949495
43,1.0,1.0,1.0
44,0.95,0.950794894760412,0.950794894760412
45,1.0,1.0,1.0
46,0.9666666666666667,0.9665178571428572,0.9665178571428572
47,0.9833333333333333,0.9833147942157954,0.9833147942157954
48,1.0,1.0,1.0
49,0.9833333333333333,0.9833147942157954,0.9833147942157954
50,1.0,1.0,1.0
51,0.9833333333333333,0.9833147942157954,0.9833147942157954
52,0.9833333333333333,0.9833147942157954,0.9833147942157954
53,1.0,1.0,1.0
54,1.0,1.0,1.0
55,0.9833333333333333,0.9833147942157954,0.9833147942157954
56,1.0,1.0,1.0
57,1.0,1.0,1.0
58,1.0,1.0,1.0
59,1.0,1.0,1.0
60,1.0,1.0,1.0
61,0.9666666666666667,0.9665178571428572,0.9665178571428572
62,0.95,0.9494949494949495,0.9494949494949495
63,0.95,0.9494949494949495,0.9494949494949495
64,0.9833333333333333,0.9833147942157954,0.9833147942157954
65,0.9833333333333333,0.9833147942157954,0.9833147942157954
66,0.9833333333333333,0.9833147942157954,0.9833147942157954
67,1.0,1.0,1.0
68,0.9833333333333333,0.9833147942157954,0.9833147942157954
69,0.9666666666666667,0.9665178571428572,0.9665178571428572
70,0.95,0.9494949494949495,0.9494949494949495
71,0.9833333333333333,0.9833147942157954,0.9833147942157954
72,1.0,1.0,1.0
73,1.0,1.0,1.0
74,1.0,1.0,1.0
75,0.95,0.9494949494949495,0.9494949494949495
76,1.0,1.0,1.0
77,0.9833333333333333,0.9833147942157954,0.9833147942157954
78,0.9833333333333333,0.9833147942157954,0.9833147942157954
79,0.9833333333333333,0.9833147942157954,0.9833147942157954
80,0.95,0.9494949494949495,0.9494949494949495
81,0.9666666666666667,0.9665178571428572,0.9665178571428572
82,0.9666666666666667,0.9665178571428572,0.9665178571428572
83,0.95,0.9494949494949495,0.9494949494949495
84,0.9666666666666667,0.9665178571428572,0.9665178571428572
85,1.0,1.0,1.0
86,0.9833333333333333,0.9833147942157954,0.9833147942157954
87,0.9833333333333333,0.9833147942157954,0.9833147942157954
88,0.9666666666666667,0.9665178571428572,0.9665178571428572
89,0.9833333333333333,0.9833147942157954,0.9833147942157954
90,0.9666666666666667,0.9665178571428572,0.9665178571428572
91,1.0,1.0,1.0
92,0.9833333333333333,0.9833147942157954,0.9833147942157954
93,1.0,1.0,1.0
94,0.9833333333333333,0.9833147942157954,0.9833147942157954
95,0.9666666666666667,0.9665178571428572,0.9665178571428572
96,1.0,1.0,1.0
97,0.9833333333333333,0.9833147942157954,0.9833147942157954
98,0.9833333333333333,0.9833147942157954,0.9833147942157954
99,1.0,1.0,1.0
