timestamp,dataset_type,model,experiment,k_per_class,accuracy,f1_weighted,f1_macro
2025-09-14T11:10:28,HF,KNN,few,11,0.888889,0.886422,0.886422
2025-09-14T11:10:28,HF,KNN,few+aug,11,0.888889,0.888545,0.888545
2025-09-14T11:10:28,Sig,RandomForest,few,11,1.0,1.0,1.0
2025-09-14T11:10:28,Sig,RandomForest,few+aug,11,1.0,1.0,1.0
2025-09-14T11:10:28,Sig,KNN,few,11,0.972222,0.972136,0.972136
2025-09-14T11:10:28,Sig,KNN,few+aug,11,1.0,1.0,1.0
2025-09-14T11:10:28,HF,RandomForest,few,12,0.96875,0.968627,0.968627
2025-09-14T11:10:28,HF,RandomForest,few+aug,12,0.9375,0.938889,0.938889
2025-09-14T11:10:28,HF,KNN,few,12,0.875,0.871461,0.871461
2025-09-14T11:10:28,HF,KNN,few+aug,12,0.875,0.87451,0.87451
2025-09-14T11:10:28,Sig,RandomForest,few,12,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,RandomForest,few+aug,12,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,KNN,few,12,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,KNN,few+aug,12,1.0,1.0,1.0
2025-09-14T11:10:29,HF,RandomForest,few,13,0.964286,0.964103,0.964103
2025-09-14T11:10:29,HF,RandomForest,few+aug,13,0.964286,0.964103,0.964103
2025-09-14T11:10:29,HF,KNN,few,13,0.892857,0.892308,0.892308
2025-09-14T11:10:29,HF,KNN,few+aug,13,0.857143,0.85641,0.85641
2025-09-14T11:10:29,Sig,RandomForest,few,13,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,RandomForest,few+aug,13,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,KNN,few,13,1.0,1.0,1.0
2025-09-14T11:10:29,Sig,KNN,few+aug,13,1.0,1.0,1.0
2025-09-14T11:10:29,HF,RandomForest,few,14,0.958333,0.958042,0.958042
2025-09-14T11:10:29,HF,RandomForest,few+aug,14,0.958333,0.958042,0.958042
2025-09-14T11:10:29,HF,KNN,few,14,0.875,0.874126,0.874126
2025-09-14T11:10:29,HF,KNN,few+aug,14,0.833333,0.832168,0.832168
2025-09-14T11:10:29,Sig,RandomForest,few,14,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,RandomForest,few+aug,14,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,KNN,few,14,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,KNN,few+aug,14,1.0,1.0,1.0
2025-09-14T11:10:30,HF,RandomForest,few,15,1.0,1.0,1.0
2025-09-14T11:10:30,HF,RandomForest,few+aug,15,1.0,1.0,1.0
2025-09-14T11:10:30,HF,KNN,few,15,0.85,0.848485,0.848485
2025-09-14T11:10:30,HF,KNN,few+aug,15,0.8,0.79798,0.79798
2025-09-14T11:10:30,Sig,RandomForest,few,15,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,RandomForest,few+aug,15,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,KNN,few,15,1.0,1.0,1.0
2025-09-14T11:10:30,Sig,KNN,few+aug,15,1.0,1.0,1.0
2025-09-14T11:10:30,HF,RandomForest,few,16,1.0,1.0,1.0
2025-09-14T11:10:30,HF,RandomForest,few+aug,16,1.0,1.0,1.0
2025-09-14T11:10:30,HF,KNN,few,16,0.8125,0.809524,0.809524
2025-09-14T11:10:30,HF,KNN,few+aug,16,0.8125,0.809524,0.809524
2025-09-14T11:10:31,Sig,RandomForest,few,16,1.0,1.0,1.0
2025-09-14T11:10:31,Sig,RandomForest,few+aug,16,1.0,1.0,1.0
2025-09-14T11:10:31,Sig,KNN,few,16,1.0,1.0,1.0
2025-09-14T11:10:31,Sig,KNN,few+aug,16,1.0,1.0,1.0
